region,state,region_key,time,temp_avg,rain_total,humidity_avg,rain_variance,max_temp,max_temp_3d,max_rain_1d,dry_spell_days,temp_lag_7,rain_lag_14,pH,N,P,K,N_class,P_class,K_class,soil_health_index,irrigation_index,rotation_score,fertility_class,state_context,region_context,target_month,target_season,time_step_missing,climate_gap_filled,soil_imputed,geo_confidence,data_confidence,crop_prob_arcanut_processed,crop_prob_arecanut,crop_prob_arhar_tur,crop_prob_banana,crop_prob_black_pepper,crop_prob_cardamom,crop_prob_cashewnut,crop_prob_castor_seed,crop_prob_coconut,crop_prob_cond_spcs_other,crop_prob_coriander,crop_prob_cotton_lint,crop_prob_dry_chillies,crop_prob_dry_ginger,crop_prob_garlic,crop_prob_ginger,crop_prob_gram,crop_prob_groundnut,crop_prob_guar_seed,crop_prob_jowar,crop_prob_maize,crop_prob_mango,crop_prob_mesta,crop_prob_onion,crop_prob_other_fresh_fruits,crop_prob_other_oilseeds,crop_prob_other_vegetables,crop_prob_pineapple,crop_prob_potato,crop_prob_ragi,crop_prob_rapeseed_and_mustard,crop_prob_sannhamp,crop_prob_sesamum,crop_prob_small_millets,crop_prob_sugarcane,crop_prob_sunflower,crop_prob_sweet_potato,crop_prob_tapioca,crop_prob_tobacco,crop_prob_turmeric,crop_prob_wheat
Vizianagaram,Andhra Pradesh,andhra pradesh__vizianagaram,2022-05,29.96967741935484,44.403710277,67.87612903225808,19.99513331174148,32.91,32.34,19.98665897,20,30.74566666666666,2.634069681,6.766666666666667,337.3,18.49,196.13,medium,medium,medium,73.39,0.7513,0.7804,medium,andhra pradesh,andhra pradesh__vizianagaram,05,zaid,0,0,1,1.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anjaw,Arunachal Pradesh,arunachal pradesh__anjaw,2018-07,16.096774193548388,29.49516777,87.17774193548385,23.84382884783999,18.14,17.77,27.64187243,19,15.437000000000005,0.574657939,6.1,700.0,30.09,176.12,high,high,medium,86.72,0.6656,0.8684,medium,arunachal pradesh,arunachal pradesh__anjaw,07,kharif,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2409638554216867,0.0,0.0,0.2690763052208835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3293172690763052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1606425702811245,0.0
Anjaw,Arunachal Pradesh,arunachal pradesh__anjaw,2019-04,9.955000000000002,0.0,76.20599999999999,0.0,13.11,12.953333333333331,0.0,30,5.810645161290323,0.0,6.1,700.0,30.09,176.12,high,high,medium,86.72,0.7699,0.855,medium,arunachal pradesh,arunachal pradesh__anjaw,04,zaid,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2409638554216867,0.0,0.0,0.2690763052208835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3293172690763052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1606425702811245,0.0
Anjaw,Arunachal Pradesh,arunachal pradesh__anjaw,2019-06,15.679,0.0,82.85800000000002,0.0,17.57,16.87,0.0,30,12.522580645161293,0.0,6.1,700.0,30.09,176.12,high,high,medium,86.72,0.767,0.8631,medium,arunachal pradesh,arunachal pradesh__anjaw,06,kharif,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2409638554216867,0.0,0.0,0.2690763052208835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3293172690763052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1606425702811245,0.0
Dibang Valley,Arunachal Pradesh,arunachal pradesh__dibang valley,2021-03,0.7835483870967741,74.58948864,80.62032258064517,65.38325199270673,3.45,2.5966666666666662,39.67807672,24,-1.6,0.00179604,5.5,596.63,22.35,164.85,high,medium,medium,77.07,0.6888,0.7523,medium,arunachal pradesh,arunachal pradesh__dibang valley,03,rabi,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2183098591549295,0.0,0.0,0.3779342723004695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4037558685446009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lower Dibang Valley,Arunachal Pradesh,arunachal pradesh__lower dibang valley,2018-07,29.090000000000003,0.0,79.05032258064514,0.0,32.68,32.06333333333334,0.0,31,28.82266666666667,0.0,5.2,695.72,23.58,200.25,high,medium,medium,78.46,0.8224,0.7499,medium,arunachal pradesh,arunachal pradesh__lower dibang valley,07,kharif,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0527683909539901,0.0,0.0,0.7681310111775409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1125552378476735,0.0,0.0,0.0,0.0,0.0,0.0348323368858851,0.0,0.0,0.0,0.0,0.0317130231349103,0.0
Lower Dibang Valley,Arunachal Pradesh,arunachal pradesh__lower dibang valley,2020-06,28.023000000000007,402.195384764,78.485,744.9851639151374,31.11,30.06,104.3498432,7,26.46483870967742,81.468991528,5.2,695.72,23.58,200.25,high,medium,medium,78.46,0.5458,0.7492,medium,arunachal pradesh,arunachal pradesh__lower dibang valley,06,kharif,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0529045643153526,0.0,0.0,0.766597510373444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112551867219917,0.0,0.0,0.0,0.0,0.0,0.0350103734439834,0.0,0.0,0.0,0.0,0.0329356846473029,0.0
Tawang,Arunachal Pradesh,arunachal pradesh__tawang,2019-01,-0.2616129032258065,0.0,69.00935483870968,0.0,1.81,0.9133333333333334,0.0,31,1.033548387096774,5.595756345,5.9,669.55,25.08,199.82,high,high,medium,86.84,0.7674,0.8598,medium,arunachal pradesh,arunachal pradesh__tawang,01,rabi,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1499364675984752,0.0,0.0,0.1575603557814485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6531130876747141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0393900889453621,0.0
Upper Siang,Arunachal Pradesh,arunachal pradesh__upper siang,2022-04,16.401,197.52880126,84.30466666666668,221.86035696849817,18.18,17.683333333333334,58.06372728,10,15.221935483870968,66.69776499,5.5,700.0,28.44,176.82,high,high,medium,80.79,0.571,0.78,medium,arunachal pradesh,arunachal pradesh__upper siang,04,zaid,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2986381322957198,0.0,0.0,0.306420233463035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1994163424124513,0.0,0.0,0.0,0.0,0.0,0.1955252918287937,0.0,0.0,0.0,0.0,0.0,0.0
Biswanath,Assam,assam__biswanath,2019-07,26.332580645161297,58.891827982,87.29419354838711,40.92712337535293,28.01,27.6,26.78430448,13,26.945666666666664,44.126503365,5.529411764705882,337.3,18.49,196.13,medium,medium,medium,66.35,0.6538,0.7006,medium,assam,assam__biswanath,07,kharif,0,0,1,1.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bongaigaon,Assam,assam__bongaigaon,2019-07,28.76290322580645,419.638231876,87.34806451612904,956.5394607152452,30.51,30.51,93.23452533,9,29.413666666666664,20.905286433,5.529411764705882,337.3,18.49,196.13,medium,medium,medium,66.35,0.5541,0.7007,medium,assam,assam__bongaigaon,07,kharif,0,0,1,1.0,0.9375,0.0,0.0,0.0,0.1242613001118032,0.0051110046318479,0.0,0.0,0.0,0.1054144705318639,0.0,0.0,0.0,0.0950327423734227,0.0,0.0,0.0357770324229356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0539849864238939,0.0,0.0,0.0,0.0,0.4580737901293723,0.0,0.0,0.0,0.0,0.0,0.0332215301070116,0.0,0.0282702443699089,0.0121386360006388,0.0,0.0487142628973007,0.0
Bongaigaon,Assam,assam__bongaigaon,2020-05,27.17548387096774,270.436220033,78.57580645161292,1042.660938626124,28.84,28.596666666666664,177.8209947,9,25.067999999999994,20.776399139,5.529411764705882,337.3,18.49,196.13,medium,medium,medium,66.35,0.5967,0.69,medium,assam,assam__bongaigaon,05,zaid,0,0,1,1.0,0.9375,0.0,0.0,0.0,0.1242613001118032,0.0051110046318479,0.0,0.0,0.0,0.1054144705318639,0.0,0.0,0.0,0.0950327423734227,0.0,0.0,0.0357770324229356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0539849864238939,0.0,0.0,0.0,0.0,0.4580737901293723,0.0,0.0,0.0,0.0,0.0,0.0332215301070116,0.0,0.0282702443699089,0.0121386360006388,0.0,0.0487142628973007,0.0
Dibrugarh,Assam,assam__dibrugarh,2019-03,22.40225806451613,37.209863285,63.42935483870968,13.573592402123136,26.56,26.016666666666666,19.42990973,15,19.588214285714283,10.95048475,5.529411764705882,337.3,18.49,196.13,medium,medium,medium,66.35,0.715,0.6715,medium,assam,assam__dibrugarh,03,rabi,0,0,1,1.0,0.9375,0.0,0.0,0.0,0.3356884653302662,0.0294117647058823,0.0,0.0,0.0,0.0125698324022346,0.0,0.0,0.0,0.0501150180742688,0.0,0.0,0.0880709825829773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101873151495234,0.0,0.0,0.0,0.0,0.3625534012487676,0.0,0.0,0.0,0.0,0.0,0.0336838646072954,0.0,0.0156917515609595,0.0040256325994084,0.0,0.058001971738416,0.0
Karbi Anglong,Assam,assam__karbi anglong,2018-12,16.633548387096774,0.0,74.9851612903226,0.0,19.27,18.94666666666667,0.0,31,19.392000000000003,0.241828286,5.3,556.71,20.68,210.05,medium,medium,medium,77.29,0.8032,0.7585,medium,assam,assam__karbi anglong,12,rabi,0,0,0,1.0,1.0,0.0,0.0,0.0,0.1122991594716679,0.0198410429412773,0.0,0.0,0.0,0.032820630110355,0.0,0.0,0.0,0.026187889530562,0.0,0.0,0.1626736805992338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0173251758248041,0.0,0.0,0.0,0.0,0.0720452856080965,0.0,0.0,0.0,0.0,0.0,0.4511978958202298,0.0,0.0227571616444622,0.0208130825090056,0.0015438275487449,0.0604951683915604,0.0
Karbi Anglong,Assam,assam__karbi anglong,2019-04,24.991666666666667,0.0,67.33266666666667,0.0,28.24,27.683333333333334,0.0,30,21.01129032258064,0.0,5.3,556.71,20.68,210.05,medium,medium,medium,77.29,0.8279,0.7491,medium,assam,assam__karbi anglong,04,zaid,0,0,0,1.0,1.0,0.0,0.0,0.0,0.1122991594716679,0.0198410429412773,0.0,0.0,0.0,0.032820630110355,0.0,0.0,0.0,0.026187889530562,0.0,0.0,0.1626736805992338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0173251758248041,0.0,0.0,0.0,0.0,0.0720452856080965,0.0,0.0,0.0,0.0,0.0,0.4511978958202298,0.0,0.0227571616444622,0.0208130825090056,0.0015438275487449,0.0604951683915604,0.0
Karbi Anglong,Assam,assam__karbi anglong,2019-06,27.660666666666668,0.0,79.161,0.0,29.93,29.35333333333333,0.0,30,26.45967741935484,0.0,5.3,556.71,20.68,210.05,medium,medium,medium,77.29,0.8097,0.7636,medium,assam,assam__karbi anglong,06,kharif,0,0,0,1.0,1.0,0.0,0.0,0.0,0.1122991594716679,0.0198410429412773,0.0,0.0,0.0,0.032820630110355,0.0,0.0,0.0,0.026187889530562,0.0,0.0,0.1626736805992338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0173251758248041,0.0,0.0,0.0,0.0,0.0720452856080965,0.0,0.0,0.0,0.0,0.0,0.4511978958202298,0.0,0.0227571616444622,0.0208130825090056,0.0015438275487449,0.0604951683915604,0.0
Araria,Bihar,bihar__araria,2018-07,30.158387096774195,0.0,78.91387096774193,0.0,32.33,31.78,0.0,31,31.762,0.0,6.955555555555556,337.3,18.49,196.13,medium,medium,medium,71.5,0.8295,0.7661,medium,bihar,bihar__araria,07,kharif,0,0,1,1.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,0.0,0.0,0.0,0.4193548387096774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3870967741935484,0.0
Araria,Bihar,bihar__araria,2021-07,29.011612903225803,0.0,87.71612903225804,0.0,30.54,29.89,0.0,31,29.044666666666668,0.0,6.955555555555556,337.3,18.49,196.13,medium,medium,medium,71.5,0.8097,0.7769,medium,bihar,bihar__araria,07,kharif,0,0,1,1.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katihar,Bihar,bihar__katihar,2018-11,22.821000000000005,44.38716028,59.18433333333334,38.95501824604313,26.03,26.03,33.35634298,17,25.62129032258064,5.281150042,6.7,321.98,19.42,209.68,medium,medium,medium,75.52,0.7263,0.7807,medium,bihar,bihar__katihar,11,rabi,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026246719160104,0.0,0.0,0.0,0.3097112860892388,0.2296587926509186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3110236220472441,0.0,0.0,0.0,0.0,0.1469816272965879,0.0
Munger,Bihar,bihar__munger,2018-12,16.546451612903226,0.0,50.93967741935484,0.0,20.88,20.88,0.0,31,22.64733333333333,0.059903042,6.0,468.02,21.23,186.35,medium,medium,medium,78.76,0.849,0.7972,medium,bihar,bihar__munger,12,rabi,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064627315812149,0.0,0.0,0.0,0.0051701852649719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9607927617406292,0.0,0.0,0.0,0.0,0.0275743214131839,0.0
Munger,Bihar,bihar__munger,2019-04,31.984,0.0,34.889,0.0,35.59,35.34,0.0,30,25.73193548387097,0.0,6.0,468.02,21.23,186.35,medium,medium,medium,78.76,0.901,0.7776,medium,bihar,bihar__munger,04,zaid,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064627315812149,0.0,0.0,0.0,0.0051701852649719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9607927617406292,0.0,0.0,0.0,0.0,0.0275743214131839,0.0
Munger,Bihar,bihar__munger,2019-06,34.74666666666666,0.0,51.167333333333325,0.0,38.25,37.88333333333333,0.0,30,35.05838709677418,3.92237935,6.0,468.02,21.23,186.35,medium,medium,medium,78.76,0.8767,0.7974,medium,bihar,bihar__munger,06,kharif,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064627315812149,0.0,0.0,0.0,0.0051701852649719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9607927617406292,0.0,0.0,0.0,0.0,0.0275743214131839,0.0
Saharsa,Bihar,bihar__saharsa,2021-05,30.171935483870964,136.803830539,58.556129032258056,118.6986328228096,33.66,33.03333333333333,48.92304563,6,30.805666666666664,9.163723692,7.0,361.65,18.92,202.62,medium,medium,medium,73.16,0.6387,0.7507,medium,bihar,bihar__saharsa,05,zaid,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheohar,Bihar,bihar__sheohar,2020-07,28.70774193548387,435.868481145,88.58419354838713,1292.4139120328548,30.62,30.5,179.24398,7,30.62400000000001,104.389631057,6.8,327.13,18.92,209.88,medium,medium,medium,74.26,0.524,0.7993,medium,bihar,bihar__sheohar,07,kharif,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132205182443151,0.0,0.0,0.0,0.020095187731359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.940772078265468,0.0,0.0,0.0,0.0132205182443151,0.0126916975145425,0.0
Vaishali,Bihar,bihar__vaishali,2022-07,31.53548387096774,0.0,68.96419354838709,0.0,33.61,33.416666666666664,0.0,31,34.00433333333333,0.0,6.9,349.33,19.02,204.0,medium,medium,medium,73.83,0.8479,0.7732,medium,bihar,bihar__vaishali,07,kharif,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015350503155381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998464949684462,0.0,0.0
Bijapur,Chhattisgarh,chhattisgarh__bijapur,2020-07,26.607741935483872,0.0,87.44580645161291,0.0,28.04,27.895,0.0,31,28.355000000000004,0.0,6.6,302.44,17.72,191.09,medium,medium,medium,72.28,0.8041,0.8036,medium,chhattisgarh,chhattisgarh__bijapur,07,kharif,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0098039215686274,0.0,0.0,0.0,0.0,0.1029411764705882,0.0,0.0,0.0098039215686274,0.1029411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.7352941176470589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0245098039215686,0.0,0.0,0.0147058823529411,0.0
